Test File,OperationTable Size,Sequence Size,Execution Time (s),Memory Usage (MB)
test13.in,100,200,0.10095453262329102,0.6640625
test03.in,3,6,0.10536026954650879,0.67578125
test17.in,1000,200,0.5303792953491211,263.21484375
test07.in,25,50,0.1063849925994873,0.4140625
test16.in,500,1000,9.753053665161133,3875.46484375
test06.in,25,30,0.10367512702941895,0.125
test12.in,100,150,0.10648584365844727,0.55078125
test02.in,2,4,0.10472559928894043,0.4140625
test19.in,1000,1000,17.30473017692566,7266.58984375
test09.in,50,75,0.008690834045410156,0
test18.in,1000,500,3.073341131210327,1900.83984375
test08.in,50,50,0.10634708404541016,0.28515625
test15.in,500,750,4.23664927482605,2179.46484375
test05.in,25,25,0.10338473320007324,2.58984375
test11.in,100,100,0.10733318328857422,1.3125
test01.in,2,1,0.1073756217956543,0.2890625
test10.in,50,100,0.10716724395751953,0.921875
test14.in,500,500,1.6797409057617188,914.71484375
test04.in,15,15,0.10514473915100098,0.4140625
